Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/19/23 0:00,14,32,49,49,45,40,46,47,39,49,58,61,56,70,69,66,58,13,40,898,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/19/23 0:00,24,30,41,36,32,33,38,36,40,48,63,57,53,58,55,57,58,60,60,876,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/19/23 0:00,2,11,20,38,44,38,49,60,56,59,61,59,42,55,50,47,46,36,,770,Active
Marino Recreation Center,Marino Center - Track,1/20/23 0:00,0,2,6,6,6,7,12,15,10,11,12,10,8,9,,5,5,3,3,128,Active
Marino Recreation Center,Marino Center - Studio A,1/20/23 0:00,0,1,2,6,8,7,10,9,8,7,4,6,7,15,8,6,6,3,2,112,Active
Marino Recreation Center,Marino Center - Studio B,1/20/23 0:00,1,1,4,4,11,7,3,6,6,7,7,6,6,9,5,5,5,4,4,100,Active
Marino Recreation Center,Marino Center - Gymnasium,1/20/23 0:00,0,2,5,4,4,14,20,25,31,32,28,32,39,46,50,55,37,37,29,490,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/20/23 0:00,4,18,32,18,19,20,29,36,40,26,40,35,45,45,,49,35,25,19,535,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/20/23 0:00,16,34,36,21,26,28,38,47,55,55,55,55,55,59,,61,38,24,29,731,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/20/23 0:00,2,14,36,32,32,50,58,59,49,52,59,52,55,50,37,30,28,22,13,727,Active
Marino Recreation Center,Marino Center - Track,1/21/23 0:00,,,,2,6,4,7,10,9,9,10,10,11,12,11,7,5,6,,118,Active
Marino Recreation Center,Marino Center - Studio A,1/21/23 0:00,,,,1,6,6,5,3,3,4,4,6,7,6,9,1,1,4,,64,Active
Marino Recreation Center,Marino Center - Studio B,1/21/23 0:00,,,,1,2,7,3,3,3,5,4,4,4,4,1,2,1,2,,44,Active
Marino Recreation Center,Marino Center - Gymnasium,1/21/23 0:00,,,,9,56,48,47,39,49,48,46,48,33,38,18,20,7,10,,513,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/21/23 0:00,,,,13,25,33,36,39,41,38,39,40,41,42,49,33,24,28,,520,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/21/23 0:00,,,,22,26,27,31,34,36,35,37,40,41,42,54,32,20,21,,498,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/21/23 0:00,,,,11,38,41,44,36,39,38,38,32,37,39,30,18,15,13,,468,Active
Marino Recreation Center,Marino Center - Track,1/22/23 0:00,,,,4,8,4,3,4,5,5,2,3,1,1,6,5,2,4,0,56,Active
Marino Recreation Center,Marino Center - Studio A,1/22/23 0:00,,,,2,5,1,5,12,10,5,2,6,8,13,6,3,2,2,2,82,Active
Marino Recreation Center,Marino Center - Studio B,1/22/23 0:00,,,,0,3,2,4,8,6,3,1,5,12,13,4,,1,1,2,65,Active
Marino Recreation Center,Marino Center - Gymnasium,1/22/23 0:00,,,,0,4,9,16,22,36,53,55,88,54,53,45,24,23,26,16,523,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/22/23 0:00,,,,4,19,15,22,34,33,34,35,38,39,30,38,27,23,29,24,442,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/22/23 0:00,,,,10,21,27,26,29,31,33,34,34,33,28,39,28,27,32,24,454,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/22/23 0:00,,,,11,20,11,18,22,29,26,19,38,41,38,48,46,22,31,21,440,Active
Marino Recreation Center,Marino Center - Track,1/23/23 0:00,1,3,3,7,7,2,8,7,8,9,5,7,10,7,14,10,6,,,114,Active
Marino Recreation Center,Marino Center - Studio A,1/23/23 0:00,2,3,6,4,8,8,9,9,5,5,5,5,8,9,11,8,14,15,,133,Active
